Model,Accuracy,Macro F1,Weighted F1,CV Macro F1 Mean,CV Macro F1 Std
Linear SVM,0.7194444444444444,0.7185107357964958,0.7185107357964957,0.6817499854390338,0.0033390697562315653
Multinomial Naive Bayes,0.7083333333333334,0.7065569348445128,0.7065569348445128,0.6844160676296963,0.009119701530347243
Logistic Regression,0.6777777777777778,0.6767665632363301,0.6767665632363301,0.6081359084748837,0.008463471068330133
